project,year_month,era,date,prs_merged_human,prs_merged_bot,prs_merged_total,bot_share,cycle_median_human,cycle_median_bot,cycle_p90_human,cycle_p90_bot,unique_authors_human,unique_authors_bot,comment_mean_human,comment_mean_bot,comment_mean_total,prs_per_author_human,additions_median_human,additions_median_bot,files_median_human,files_median_bot,bot_comment_share_est,comment_mean_human_est
SGLang,2024-01,1,2024-01-01,63,0,63,0.0,0.0049768518518518,,1.090011574074076,,15,0,0.2857142857142857,,0.2857142857142857,4.2,26.0,,3.0,,0.05,0.2714285714285714
SGLang,2024-02,1,2024-02-01,39,0,39,0.0,0.0358564814814814,,4.603972222222223,,13,0,0.7692307692307693,,0.7692307692307693,3.0,16.0,,2.0,,0.05,0.7307692307692307
SGLang,2024-03,1,2024-03-01,36,0,36,0.0,1.1475925925925927,,12.015555555555554,,16,0,1.0277777777777777,,1.0277777777777777,2.25,15.0,,2.0,,0.05,0.9763888888888888
SGLang,2024-04,1,2024-04-01,22,0,22,0.0,0.09681134259259254,,5.486672453703709,,12,0,0.5909090909090909,,0.5909090909090909,1.8333333333333333,27.5,,1.0,,0.05,0.5613636363636364
SGLang,2024-05,1,2024-05-01,48,0,48,0.0,0.008651620370370351,,5.488013888888923,,13,0,1.0208333333333333,,1.0208333333333333,3.6923076923076925,55.0,,6.0,,0.05,0.9697916666666665
SGLang,2024-06,2,2024-06-01,39,0,39,0.0,0.015787037037037,,3.448752314814815,,10,0,0.23076923076923078,,0.23076923076923078,3.9,39.0,,3.0,,0.1,0.2076923076923077
SGLang,2024-07,2,2024-07-01,210,0,210,0.0,0.005688657407407351,,0.40507986111111105,,23,0,0.2619047619047619,,0.2619047619047619,9.130434782608695,15.0,,2.0,,0.1,0.23571428571428574
SGLang,2024-08,2,2024-08-01,242,0,242,0.0,0.03656828703703695,,1.2102534722222233,,32,0,1.1487603305785123,,1.1487603305785123,7.5625,15.0,,3.0,,0.1,1.0338842975206612
SGLang,2024-09,2,2024-09-01,148,0,148,0.0,0.03415509259259255,,1.3113159722222225,,34,0,1.3513513513513513,,1.3513513513513513,4.352941176470588,19.0,,2.0,,0.1,1.2162162162162162
SGLang,2024-10,2,2024-10-01,208,0,208,0.0,0.0375289351851851,,1.164561342592593,,39,0,0.75,,0.75,5.333333333333333,19.0,,2.0,,0.1,0.675
SGLang,2024-11,2,2024-11-01,266,1,267,0.003745318352059925,0.03237268518518515,0.0021180555555555,1.2197280092592593,0.0021180555555555,48,1,0.8571428571428571,0.0,0.8539325842696629,5.541666666666667,23.0,2.0,3.0,1.0,0.1,0.7685393258426966
SGLang,2024-12,2,2024-12-01,241,0,241,0.0,0.0238541666666666,,2.536539351851852,,38,0,1.012448132780083,,1.012448132780083,6.342105263157895,16.0,,2.0,,0.1,0.9112033195020747
SGLang,2025-01,3,2025-01-01,311,0,311,0.0,0.0295949074074074,,1.958414351851852,,65,0,1.247588424437299,,1.247588424437299,4.7846153846153845,14.0,,2.0,,0.15,1.060450160771704
SGLang,2025-02,3,2025-02-01,241,0,241,0.0,0.0743055555555555,,5.783553240740741,,66,0,2.224066390041494,,2.224066390041494,3.6515151515151514,12.0,,2.0,,0.15,1.8904564315352697
SGLang,2025-03,3,2025-03-01,480,0,480,0.0,0.2355034722222222,,9.880011574074075,,129,0,2.252083333333333,,2.252083333333333,3.7209302325581395,13.0,,2.0,,0.15,1.9142708333333331
SGLang,2025-04,3,2025-04-01,454,0,454,0.0,0.43114583333333334,,11.695312499999996,,110,0,2.0286343612334803,,2.0286343612334803,4.127272727272727,14.5,,2.0,,0.15,1.7243392070484582
SGLang,2025-05,3,2025-05-01,399,0,399,0.0,0.7609953703703703,,12.79644212962962,,96,0,1.463659147869674,,1.463659147869674,4.15625,21.0,,2.0,,0.15,1.244110275689223
SGLang,2025-06,3,2025-06-01,381,0,381,0.0,0.4843055555555555,,11.698032407407409,,102,0,1.7349081364829397,,1.7349081364829397,3.735294117647059,20.0,,2.0,,0.15,1.4746719160104986
SGLang,2025-07,3,2025-07-01,433,0,433,0.0,0.6477199074074074,,17.9933888888889,,127,0,1.674364896073903,,1.674364896073903,3.409448818897638,18.0,,2.0,,0.15,1.4232101616628174
SGLang,2025-08,3,2025-08-01,673,0,673,0.0,0.3643402777777778,,13.879462962962972,,182,0,1.7964338781575038,,1.7964338781575038,3.697802197802198,22.0,,2.0,,0.15,1.526968796433878
SGLang,2025-09,3,2025-09-01,632,0,632,0.0,0.36296874999999995,,13.379118055555544,,178,0,1.9208860759493671,,1.9208860759493671,3.550561797752809,22.0,,2.0,,0.15,1.632753164556962
SGLang,2025-10,3,2025-10-01,808,0,808,0.0,0.6566435185185184,,15.238748842592594,,190,0,2.3997524752475248,,2.3997524752475248,4.252631578947368,25.0,,2.0,,0.15,2.039789603960396
SGLang,2025-11,3,2025-11-01,877,0,877,0.0,0.589212962962963,,14.044171296296291,,231,0,2.458380843785633,,2.458380843785633,3.7965367965367967,15.0,,2.0,,0.15,2.089623717217788
SGLang,2025-12,3,2025-12-01,1111,0,1111,0.0,0.3907754629629629,,10.32744212962963,,223,0,3.3069306930693068,,3.3069306930693068,4.982062780269058,30.0,,2.0,,0.15,2.8108910891089107
SGLang,2026-01,3,2026-01-01,985,0,985,0.0,0.9274421296296296,,15.888087962962961,,242,0,3.851776649746193,,3.851776649746193,4.070247933884297,29.0,,2.0,,0.15,3.274010152284264
SGLang,2026-02,3,2026-02-01,771,0,771,0.0,1.041712962962963,,19.45164351851852,,247,0,4.45136186770428,,4.45136186770428,3.1214574898785425,28.0,,2.0,,0.15,3.783657587548638
SGLang,2026-03,3,2026-03-01,994,0,994,0.0,1.1286516203703705,,23.710953703703716,,286,0,4.880281690140845,,4.880281690140845,3.4755244755244754,26.0,,2.0,,0.15,4.148239436619718
SGLang,2026-04,3,2026-04-01,1081,0,1081,0.0,1.0151736111111112,,18.10846064814815,,272,0,4.38667900092507,,4.38667900092507,3.974264705882353,32.0,,2.0,,0.15,3.728677150786309
SGLang,2026-05,3,2026-05-01,1276,0,1276,0.0,0.7662731481481482,,15.020659722222224,,278,0,3.6434169278996866,,3.6434169278996866,4.589928057553957,37.0,,2.0,,0.15,3.0969043887147336
SGLang,2026-06,3,2026-06-01,1360,0,1360,0.0,1.069363425925926,,20.16642592592594,,321,0,4.663970588235294,,4.663970588235294,4.2367601246105915,45.0,,2.0,,0.15,3.964375
vLLM,2023-02,0,2023-02-01,1,0,1,0.0,0.0016898148148148,,0.0016898148148148,,1,0,0.0,,0.0,1.0,25.0,,2.0,,0.0,0.0
vLLM,2023-03,0,2023-03-01,16,0,16,0.0,0.7654398148148148,,6.416776620370371,,2,0,0.3125,,0.3125,8.0,229.5,,7.0,,0.0,0.3125
vLLM,2023-04,0,2023-04-01,16,0,16,0.0,0.4692361111111111,,4.1480092592592595,,3,0,0.625,,0.625,5.333333333333333,129.0,,5.0,,0.0,0.625
vLLM,2023-05,0,2023-05-01,43,0,43,0.0,0.648449074074074,,1.9972731481481478,,2,0,0.5348837209302325,,0.5348837209302325,21.5,78.0,,5.0,,0.0,0.5348837209302325
vLLM,2023-06,0,2023-06-01,55,0,55,0.0,0.1220138888888889,,2.0163819444444444,,12,0,0.5454545454545454,,0.5454545454545454,4.583333333333333,8.0,,2.0,,0.0,0.5454545454545454
vLLM,2023-07,0,2023-07-01,49,0,49,0.0,1.125289351851852,,6.407136574074077,,27,0,1.2857142857142858,,1.2857142857142858,1.8148148148148149,8.5,,2.0,,0.0,1.2857142857142858
vLLM,2023-08,0,2023-08-01,41,0,41,0.0,1.0055439814814815,,19.67505787037037,,28,0,1.6829268292682926,,1.6829268292682926,1.4642857142857142,6.0,,1.0,,0.0,1.6829268292682926
vLLM,2023-09,0,2023-09-01,82,0,82,0.0,0.7502662037037037,,5.93348263888889,,25,0,1.9024390243902438,,1.9024390243902438,3.28,10.0,,2.0,,0.0,1.9024390243902438
vLLM,2023-10,1,2023-10-01,53,0,53,0.0,1.075208333333333,,10.301101851851854,,28,0,2.2452830188679247,,2.2452830188679247,1.8928571428571428,4.5,,1.0,,0.05,2.1330188679245285
vLLM,2023-11,1,2023-11-01,77,0,77,0.0,0.6876273148148148,,14.047331018518534,,35,0,2.1948051948051948,,2.1948051948051948,2.2,14.0,,2.0,,0.05,2.085064935064935
vLLM,2023-12,1,2023-12-01,100,0,100,0.0,0.15010995370370364,,5.445628472222234,,38,0,2.37,,2.37,2.6315789473684212,5.0,,1.0,,0.05,2.2515
vLLM,2024-01,1,2024-01-01,91,0,91,0.0,0.8451736111111111,,31.03950231481481,,50,0,4.417582417582418,,4.417582417582418,1.82,11.0,,1.0,,0.05,4.196703296703297
vLLM,2024-02,1,2024-02-01,98,0,98,0.0,1.0980381944444444,,18.37497222222222,,49,0,3.13265306122449,,3.13265306122449,2.0,14.0,,2.0,,0.05,2.976020408163265
vLLM,2024-03,1,2024-03-01,200,0,200,0.0,0.5945196759259259,,14.34682638888889,,79,0,3.67,,3.67,2.5316455696202533,13.5,,2.0,,0.05,3.4865
vLLM,2024-04,1,2024-04-01,218,0,218,0.0,0.7919097222222222,,11.030581018518522,,79,0,3.096330275229358,,3.096330275229358,2.759493670886076,16.0,,2.0,,0.05,2.94151376146789
vLLM,2024-05,1,2024-05-01,219,0,219,0.0,0.9452777777777778,,12.943625,,86,0,3.278538812785388,,3.278538812785388,2.546511627906977,18.0,,2.0,,0.05,3.1146118721461185
vLLM,2024-06,2,2024-06-01,328,0,328,0.0,0.8413252314814814,,14.998038194444447,,93,0,3.152439024390244,,3.152439024390244,3.5268817204301075,18.0,,2.0,,0.1,2.8371951219512197
vLLM,2024-07,2,2024-07-01,372,0,372,0.0,0.44103587962962965,,11.381810185185186,,107,0,4.497311827956989,,4.497311827956989,3.4766355140186915,18.5,,2.0,,0.1,4.047580645161291
vLLM,2024-08,2,2024-08-01,378,0,378,0.0,0.7623900462962963,,11.232805555555554,,113,0,4.724867724867725,,4.724867724867725,3.3451327433628317,26.0,,2.0,,0.1,4.252380952380952
vLLM,2024-09,2,2024-09-01,322,0,322,0.0,0.9349942129629629,,15.384348379629634,,116,0,5.75776397515528,,5.75776397515528,2.7758620689655173,24.0,,2.0,,0.1,5.181987577639752
vLLM,2024-10,2,2024-10-01,353,3,356,0.008426966292134831,0.8484953703703704,1.217476851851852,15.053858796296304,1.2176435185185184,131,1,4.019830028328612,1.0,3.99438202247191,2.6946564885496183,21.0,5.0,2.0,5.0,0.1,3.594943820224719
vLLM,2024-11,2,2024-11-01,425,5,430,0.011627906976744186,0.4854398148148148,0.9784722222222222,14.756370370370377,10.656083333333333,131,1,3.976470588235294,2.0,3.953488372093023,3.2442748091603053,20.0,6.0,2.0,3.0,0.1,3.558139534883721
vLLM,2024-12,2,2024-12-01,337,0,337,0.0,0.4720949074074074,,10.248277777777783,,100,0,3.1839762611275964,,3.1839762611275964,3.37,23.0,,2.0,,0.1,2.865578635014837
vLLM,2025-01,3,2025-01-01,413,0,413,0.0,0.4976967592592592,,12.046881944444458,,136,0,3.2469733656174333,,3.2469733656174333,3.036764705882353,18.0,,2.0,,0.15,2.7599273607748183
vLLM,2025-02,3,2025-02-01,485,5,490,0.01020408163265306,0.7713657407407407,16.183229166666667,12.09980555555556,32.97403935185185,157,1,3.9649484536082475,3.6,3.9612244897959186,3.089171974522293,17.0,1.0,2.0,1.0,0.15,3.3670408163265306
vLLM,2025-03,3,2025-03-01,663,0,663,0.0,0.6853703703703704,,12.087393518518525,,188,0,3.8552036199095023,,3.8552036199095023,3.526595744680851,15.0,,2.0,,0.15,3.276923076923077
vLLM,2025-04,3,2025-04-01,667,0,667,0.0,0.6871643518518519,,14.02557175925926,,221,0,4.0209895052473765,,4.0209895052473765,3.018099547511312,15.0,,2.0,,0.15,3.41784107946027
vLLM,2025-05,3,2025-05-01,678,0,678,0.0,0.6008564814814814,,13.150321759259265,,210,0,3.9011799410029497,,3.9011799410029497,3.2285714285714286,15.0,,2.0,,0.15,3.316002949852507
vLLM,2025-06,3,2025-06-01,504,0,504,0.0,1.1313831018518519,,13.742206018518518,,177,0,4.402777777777778,,4.402777777777778,2.847457627118644,16.0,,2.0,,0.15,3.742361111111111
vLLM,2025-07,3,2025-07-01,799,0,799,0.0,0.8380439814814815,,16.435178240740758,,256,0,3.92991239048811,,3.92991239048811,3.12109375,19.0,,2.0,,0.15,3.3404255319148937
vLLM,2025-08,3,2025-08-01,877,1,878,0.0011389521640091116,0.8640393518518519,4.174918981481482,13.28690509259259,4.174918981481482,272,1,3.5017103762827824,0.0,3.497722095671982,3.224264705882353,20.0,7.0,2.0,3.0,0.15,2.9730637813211844
vLLM,2025-09,3,2025-09-01,972,3,975,0.003076923076923077,0.9445486111111112,0.9252083333333332,16.98627546296295,0.9259398148148148,301,1,3.159465020576132,0.0,3.14974358974359,3.229235880398671,18.0,2.0,2.0,2.0,0.15,2.6772820512820514
vLLM,2025-10,3,2025-10-01,870,1,871,0.001148105625717566,0.9519560185185184,0.1156597222222222,18.674723379629633,0.1156597222222222,305,1,3.2655172413793103,0.0,3.261768082663605,2.8524590163934427,21.0,1.0,2.0,1.0,0.15,2.772502870264064
vLLM,2025-11,3,2025-11-01,901,3,904,0.00331858407079646,1.132673611111111,1.904085648148148,18.951782407407407,2.290641203703704,321,2,3.1520532741398446,5.0,3.1581858407079646,2.8068535825545173,16.0,6.0,2.0,2.0,0.15,2.6844579646017697
vLLM,2025-12,3,2025-12-01,795,4,799,0.0050062578222778474,1.2640625,1.6783738425925927,17.97402314814815,9.671973379629632,318,2,3.4742138364779875,4.25,3.4780976220275344,2.5,18.5,2.5,2.0,2.5,0.15,2.956382978723404
vLLM,2026-01,3,2026-01-01,887,0,887,0.0,1.1880439814814814,,21.455300925925922,,303,0,3.411499436302142,,3.411499436302142,2.927392739273927,23.0,,2.0,,0.15,2.8997745208568206
vLLM,2026-02,3,2026-02-01,863,0,863,0.0,1.1643981481481482,,16.7134050925926,,314,0,3.2896871378910775,,3.2896871378910775,2.748407643312102,19.0,,2.0,,0.15,2.7962340672074157
