project,year_month,pr_number,author,author_type,bot_method,created_at,closed_at,cycle_days,comments,title
vLLM,2024-10,9196,dependabot[bot],Bot,account_type,2024-10-09T15:17:25Z,2024-10-10T20:30:35Z,1.217476851851852,1,Bump actions/checkout from 3 to 4
vLLM,2024-10,9197,dependabot[bot],Bot,account_type,2024-10-09T15:17:25Z,2024-10-10T20:30:24Z,1.217349537037037,1,Bump actions/github-script from 6 to 7
vLLM,2024-10,9195,dependabot[bot],Bot,account_type,2024-10-09T15:17:18Z,2024-10-10T20:30:46Z,1.217685185185185,1,Bump actions/setup-python from 3 to 5
vLLM,2024-11,10210,dependabot[bot],Bot,account_type,2024-11-11T05:12:00Z,2024-11-11T07:22:41Z,0.09075231481481481,1,Bump the patch-update group with 5 updates
vLLM,2024-11,10209,dependabot[bot],Bot,account_type,2024-11-11T04:47:08Z,2024-11-11T17:24:11Z,0.5257291666666667,1,Bump actions/setup-python from 5.2.0 to 5.3.0
vLLM,2024-11,9897,dependabot[bot],Bot,account_type,2024-10-31T23:35:42Z,2024-11-01T23:04:42Z,0.9784722222222222,2,Bump the patch-update group with 10 updates
vLLM,2024-11,9746,dependabot[bot],Bot,account_type,2024-10-28T04:52:28Z,2024-11-07T21:44:58Z,10.703125,3,Bump actions/checkout from 4.2.1 to 4.2.2
vLLM,2024-11,9745,dependabot[bot],Bot,account_type,2024-10-28T04:52:26Z,2024-11-07T18:55:35Z,10.585520833333334,3,Bump actions/setup-python from 5.2.0 to 5.3.0
vLLM,2025-02,13742,dependabot[bot],Bot,account_type,2025-02-24T04:54:52Z,2025-02-27T19:04:10Z,3.5897916666666667,2,Bump azure/setup-helm from 4.2.0 to 4.3.0
vLLM,2025-02,12672,dependabot[bot],Bot,account_type,2025-02-03T04:44:09Z,2025-02-12T08:41:22Z,9.164733796296296,4,Bump actions/setup-python from 5.3.0 to 5.4.0
vLLM,2025-02,12463,dependabot[bot],Bot,account_type,2025-01-27T04:16:36Z,2025-02-12T08:41:07Z,16.18369212962963,4,Bump helm/chart-testing-action from 2.6.1 to 2.7.0
vLLM,2025-02,12462,dependabot[bot],Bot,account_type,2025-01-27T04:16:34Z,2025-02-12T08:40:25Z,16.183229166666667,4,Bump actions/stale from 9.0.0 to 9.1.0
vLLM,2025-02,11612,dependabot[bot],Bot,account_type,2024-12-30T04:38:59Z,2025-02-12T08:40:20Z,44.16760416666666,4,Bump helm/kind-action from 1.10.0 to 1.12.0
vLLM,2025-08,23385,Copilot,Bot,account_type,2025-08-21T22:22:23Z,2025-08-26T02:34:16Z,4.174918981481482,0,Remove graph_pool as member of VllmBackend and argument to CUDAGraphWrapper
vLLM,2025-09,24414,dependabot[bot],Bot,account_type,2025-09-08T04:59:22Z,2025-09-09T02:54:59Z,0.9136226851851852,0,Bump actions/setup-python from 5.4.0 to 6.0.0
vLLM,2025-09,24413,dependabot[bot],Bot,account_type,2025-09-08T04:59:07Z,2025-09-09T03:12:44Z,0.9261226851851851,0,Bump actions/github-script from 7.0.1 to 8.0.0
vLLM,2025-09,24412,dependabot[bot],Bot,account_type,2025-09-08T04:59:02Z,2025-09-09T03:11:20Z,0.9252083333333333,0,Bump actions/stale from 9.1.0 to 10.0.0
vLLM,2025-10,26272,dependabot[bot],Bot,account_type,2025-10-06T04:14:49Z,2025-10-06T07:01:22Z,0.11565972222222222,0,Bump actions/stale from 10.0.0 to 10.1.0
