project,year_month,date,era,prs_opened,prs_merged,merge_ratio,cycle_median_days,cycle_p90_days,n_sampled,unique_contributors,era_label,comment_mean,comment_median,new_authors,returning_authors,new_ratio,month_num
vLLM,2023-02,2023-02-01,0,2,1,0.5,0.0016898148148148,0.0016898148148148,1,1,Era0_Pre-Agentic,0.0,0.0,1,0,1.0,2
vLLM,2023-03,2023-03-01,0,16,16,1.0,0.7654398148148148,6.416776620370371,16,2,Era0_Pre-Agentic,0.3125,0.0,1,1,0.5,3
vLLM,2023-04,2023-04-01,0,25,16,0.64,0.4692361111111111,4.14800925925926,16,3,Era0_Pre-Agentic,0.625,0.0,1,2,0.3333333333333333,4
vLLM,2023-05,2023-05-01,0,42,43,1.0,0.6539525462962963,1.4608275462962972,20,2,Era0_Pre-Agentic,0.5348837209302325,0.0,0,2,0.0,5
vLLM,2023-06,2023-06-01,0,69,55,0.7971014492753623,0.1125752314814814,0.5486493055555556,20,10,Era0_Pre-Agentic,0.58,0.0,8,2,0.8,6
vLLM,2023-07,2023-07-01,0,68,49,0.7205882352941176,0.7229456018518519,6.265023148148149,20,27,Era0_Pre-Agentic,1.2857142857142858,0.0,24,3,0.8888888888888888,7
vLLM,2023-08,2023-08-01,0,71,41,0.5774647887323944,0.4469039351851852,4.458420138888889,20,28,Era0_Pre-Agentic,1.6829268292682926,0.0,20,8,0.7142857142857143,8
vLLM,2023-09,2023-09-01,0,115,82,0.7130434782608696,0.3213657407407407,2.6497719907407418,20,15,Era0_Pre-Agentic,2.36,1.0,9,6,0.6,9
vLLM,2023-10,2023-10-01,1,94,53,0.5638297872340425,0.1338831018518518,5.602974537037043,20,26,Era1_Early-AI-Tools,2.36,1.0,19,7,0.7307692307692307,10
vLLM,2023-11,2023-11-01,1,108,77,0.7129629629629629,0.2880150462962963,1.156475694444446,20,29,Era1_Early-AI-Tools,2.78,1.0,19,10,0.6551724137931034,11
vLLM,2023-12,2023-12-01,1,153,100,0.6535947712418301,0.1614409722222222,1.1311481481481485,20,26,Era1_Early-AI-Tools,3.92,1.0,16,10,0.6153846153846154,12
vLLM,2024-01,2024-01-01,1,143,92,0.6433566433566433,0.2630902777777777,1.2877407407407409,20,34,Era1_Early-AI-Tools,6.58,1.0,24,10,0.7058823529411765,13
